date,state,cases_import,cases_new,cases_recovered
7/19/21,Perlis,0,1,1
7/19/21,Pulau Pinang,0,426,399
7/19/21,Sabah,0,651,231
7/19/21,Sarawak,0,301,330
7/19/21,Selangor,40,4404,2379
7/19/21,Terengganu,0,144,125
7/19/21,W.P. Kuala Lumpur,4,609,743
7/19/21,W.P. Labuan,0,24,54
7/19/21,W.P. Putrajaya,0,48,20
7/20/21,Johor,0,793,477
7/20/21,Kedah,0,701,338
7/20/21,Kelantan,0,179,136
7/20/21,Melaka,0,309,115
7/20/21,Negeri Sembilan,0,970,724
7/20/21,Pahang,0,288,229
7/20/21,Perak,0,295,161
7/20/21,Perlis,0,2,2
7/20/21,Pulau Pinang,0,460,222
7/20/21,Sabah,0,657,285
7/20/21,Sarawak,0,351,265
7/20/21,Selangor,4,5524,3062
7/20/21,Terengganu,0,190,62
7/20/21,W.P. Kuala Lumpur,4,1580,1434
7/20/21,W.P. Labuan,0,17,26
7/20/21,W.P. Putrajaya,0,50,29
7/21/21,Johor,2,644,300
7/21/21,Kedah,0,800,310
7/21/21,Kelantan,0,386,160
7/21/21,Melaka,0,453,924
7/21/21,Negeri Sembilan,0,745,733
7/21/21,Pahang,0,603,331
7/21/21,Perak,0,274,170
7/21/21,Perlis,0,2,1
7/21/21,Pulau Pinang,0,362,249
7/21/21,Sabah,0,474,311
7/21/21,Sarawak,0,261,265
7/21/21,Selangor,3,5550,3037
7/21/21,Terengganu,0,171,91
7/21/21,W.P. Kuala Lumpur,2,1174,925
7/21/21,W.P. Labuan,0,35,67
7/21/21,W.P. Putrajaya,0,51,28
7/22/21,Johor,4,791,362
7/22/21,Kedah,0,701,303
7/22/21,Kelantan,0,240,236
7/22/21,Melaka,0,353,209
7/22/21,Negeri Sembilan,5,711,900
7/22/21,Pahang,0,261,392
7/22/21,Perak,0,284,218
7/22/21,Perlis,0,6,5
7/22/21,Pulau Pinang,0,371,62
7/22/21,Sabah,0,497,266
7/22/21,Sarawak,1,644,318
7/22/21,Selangor,7,6049,3882
